candidate_id,silver_label
CAND_0000255,0
CAND_0000256,3
CAND_0000257,2
CAND_0000258,2
CAND_0000259,2
CAND_0000260,1
CAND_0000261,0
CAND_0000262,0
CAND_0000263,2
CAND_0000264,3
CAND_0000265,1
CAND_0000266,1
CAND_0000267,1
CAND_0000268,0
CAND_0000269,0
CAND_0000270,3
CAND_0000271,2
CAND_0000272,3
CAND_0000273,1
CAND_0000274,0
CAND_0000275,0
CAND_0000276,2
CAND_0000277,3
CAND_0000278,1
CAND_0000279,2
CAND_0000280,3
CAND_0000281,2
CAND_0000282,3
CAND_0000283,3
CAND_0000284,0
CAND_0000285,2
CAND_0000286,2
CAND_0000287,3
CAND_0000288,0
CAND_0000289,0
CAND_0000290,0
CAND_0000291,0
CAND_0000292,0
CAND_0000293,3
CAND_0000294,2
CAND_0000295,2
CAND_0000296,3
CAND_0000297,1
CAND_0000298,2
CAND_0000299,2
CAND_0000300,1
CAND_0000301,0
CAND_0000302,3
CAND_0000303,1
CAND_0000304,2
CAND_0000305,3
CAND_0000306,0
CAND_0000307,2
CAND_0000308,2
CAND_0000309,2
CAND_0000310,3
CAND_0000311,3
CAND_0000312,3
CAND_0000313,2
CAND_0000314,3
CAND_0000315,0
CAND_0000316,0
CAND_0000317,1
CAND_0000318,0
CAND_0000319,0
CAND_0000320,0
CAND_0000321,2
CAND_0000322,3
CAND_0000323,2
CAND_0000324,0
CAND_0000325,0
CAND_0000326,2
CAND_0000327,2
CAND_0000328,1
CAND_0000329,3
CAND_0000330,0
CAND_0000331,0
CAND_0000332,1
CAND_0000333,0
CAND_0000334,0
CAND_0000335,1
CAND_0000336,2
CAND_0000337,3
CAND_0000338,1
CAND_0000339,0
CAND_0000340,1
CAND_0000341,2
CAND_0000342,1
CAND_0000343,2
CAND_0000344,0
CAND_0000345,0
CAND_0000346,2
CAND_0000347,0
CAND_0000348,3
CAND_0000349,1
CAND_0000350,1
CAND_0000351,0
CAND_0000352,1
CAND_0000353,0
CAND_0000354,1
CAND_0000355,1
CAND_0000356,1
CAND_0000357,3
CAND_0000358,1
CAND_0000359,1
CAND_0000360,1
CAND_0000361,0
CAND_0000362,1
CAND_0000363,2
CAND_0000364,2
CAND_0000365,0
CAND_0000366,3
CAND_0000367,2
CAND_0000368,2
CAND_0000369,0
CAND_0000370,0
CAND_0000371,1
CAND_0000372,1
CAND_0000373,2
CAND_0000374,2
CAND_0000375,1
CAND_0000376,2
CAND_0000377,3
CAND_0000378,3
CAND_0000379,1
CAND_0000380,2
CAND_0000381,0
CAND_0000382,0
CAND_0000383,2
CAND_0000384,0
CAND_0000385,3
CAND_0000386,3
CAND_0000387,1
CAND_0000388,1
CAND_0000389,0
CAND_0000390,2
CAND_0000391,2
CAND_0000392,2
CAND_0000393,2
CAND_0000394,2
CAND_0000395,0
CAND_0000396,3
CAND_0000397,0
CAND_0000398,0
CAND_0000399,3
CAND_0000400,1
CAND_0000401,1
CAND_0000402,3
CAND_0000403,3
CAND_0000404,1
CAND_0000405,0
CAND_0000406,1
CAND_0000407,1
CAND_0000408,1
CAND_0000409,3
CAND_0000410,0
CAND_0000411,1
CAND_0000412,1
CAND_0000413,2
CAND_0000414,1
CAND_0000415,2
CAND_0000416,3
CAND_0000417,2
CAND_0000418,0
CAND_0000419,2
CAND_0000420,1
CAND_0000421,3
CAND_0000422,3
CAND_0000423,3
CAND_0000424,3
CAND_0000425,2
CAND_0000426,1
CAND_0000427,1
CAND_0000428,0
CAND_0000429,3
CAND_0000430,2
CAND_0000431,1
CAND_0000432,3
CAND_0000433,2
CAND_0000434,2
CAND_0000435,2
CAND_0000436,3
CAND_0000437,0
CAND_0000438,3
CAND_0000439,0
CAND_0000440,0
CAND_0000441,2
CAND_0000442,2
CAND_0000443,1
CAND_0000444,3
CAND_0000445,1
CAND_0000446,3
CAND_0000447,0
CAND_0000448,3
CAND_0000449,2
CAND_0000450,0
CAND_0000451,1
CAND_0000452,0
CAND_0000453,1
CAND_0000454,3
CAND_0000455,3
CAND_0000456,2
CAND_0000457,0
CAND_0000458,1
CAND_0000459,1
CAND_0000460,0
CAND_0000461,3
CAND_0000462,3
CAND_0000463,2
CAND_0000464,3
CAND_0000465,1
CAND_0000466,1
CAND_0000467,2
CAND_0000468,3
CAND_0000469,1
CAND_0000470,0
CAND_0000471,2
CAND_0000472,0
CAND_0000473,0
CAND_0000474,3
CAND_0000475,0
CAND_0000476,0
CAND_0000477,0
CAND_0000478,3
CAND_0000479,3
CAND_0000480,3
CAND_0000481,3
CAND_0000482,1
CAND_0000483,1
CAND_0000484,3
CAND_0000485,2
CAND_0000486,3
CAND_0000487,1
CAND_0000488,2
CAND_0000489,0
CAND_0000490,1
CAND_0000491,2
CAND_0000492,3
CAND_0000493,1
CAND_0000494,3
CAND_0000495,2
CAND_0000496,0
CAND_0000497,0
CAND_0000498,3
CAND_0000499,0
